                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.48973,                  1.079,                 1.0369,                0.88232,                0.81832,                0.88793,                0.82596,                0.33787,                0.61196,                0.89387,              0.0033331,              0.0033331,              0.0033331
                      2,                0.51885,                0.66434,                 1.0365,                0.89975,                 0.8419,                0.90537,                0.84486,                0.32738,                0.56343,                0.90004,              0.0062264,              0.0062264,              0.0062264
                      3,                0.56102,                0.68913,                 1.0545,                0.90477,                0.84885,                0.90977,                0.84755,                0.34217,                0.54103,                0.90785,              0.0086798,              0.0086798,              0.0086798
                      4,                0.54623,                0.63654,                 1.0437,                0.88943,                0.82494,                0.89974,                0.83782,                0.36805,                0.59418,                0.91322,                0.00802,                0.00802,                0.00802
                      5,                0.50578,                0.54938,                 1.0237,                0.88813,                0.82373,                0.89831,                0.83724,                0.37415,                0.61609,                0.91568,                0.00802,                0.00802,                0.00802
                      6,                0.37632,                0.37578,                0.95699,                0.87999,                0.82648,                0.89636,                0.83689,                0.37754,                 0.6458,                 0.9186,                0.00736,                0.00736,                0.00736
                      7,                0.35201,                0.32862,                0.94049,                0.87909,                0.83153,                0.89884,                 0.8402,                0.37798,                0.64042,                0.91655,                 0.0067,                 0.0067,                 0.0067
                      8,                0.33339,                0.30273,                0.92921,                 0.8914,                0.83491,                0.90405,                0.84715,                0.36846,                0.60202,                0.90705,                0.00604,                0.00604,                0.00604
                      9,                0.31671,                0.28015,                0.91765,                0.90028,                0.83406,                0.90866,                 0.8536,                0.35653,                0.56892,                 0.8964,                0.00538,                0.00538,                0.00538
                     10,                0.30085,                0.25828,                0.90951,                0.88554,                0.85267,                0.91281,                0.85931,                 0.3438,                0.54552,                 0.8871,                0.00472,                0.00472,                0.00472
                     11,                0.28665,                0.24017,                0.90115,                0.87921,                0.86435,                0.91474,                0.86267,                0.33291,                0.53285,                0.88009,                0.00406,                0.00406,                0.00406
                     12,                0.27438,                0.22234,                0.89369,                0.88618,                0.86233,                0.91472,                0.86388,                 0.3249,                0.53109,                0.87629,                 0.0034,                 0.0034,                 0.0034
                     13,                 0.2597,                0.20759,                0.88596,                0.89353,                0.86174,                0.91406,                0.86431,                0.31812,                0.53486,                 0.8738,                0.00274,                0.00274,                0.00274
                     14,                0.24389,                0.19036,                0.87701,                0.89186,                0.86585,                0.91299,                0.86399,                0.31334,                0.54021,                0.87229,                0.00208,                0.00208,                0.00208
                     15,                0.22818,                0.17472,                0.86874,                0.89208,                0.86761,                0.91113,                0.86342,                 0.3093,                 0.5507,                0.87108,                0.00142,                0.00142,                0.00142
