Species	Occurrences
Pas d'oiseau	28752
Moineau friquet	942
Mésange charbonnière	25668
Rougegorge familier	10069
Fauvette à tête noire	4
Tourterelle turque	271
Mésange bleue	14156
Verdier d'Europe	7987
Poule domestique	2
Troglodyte mignon	2
Moineau domestique	15132
Moineau friquet, Moineau domestique	1
Pigeon biset	361
Pie bavarde	146
Pinson des arbres	533
Moineau domestique + Moineau friquet	1
Choucas des Tours	1
Choucas des tours	75
Espèce inconnue	2
Etourneau sansonnet	5
Mésange bleue, rougegorge familier	6
Moineau domestique, rougegorge familier	2
Moineau domestique, Rougegorge familier	1
Rougegorge familier, mésange bleue	12
Geai des chênes	288
Mésange nonnette	2568
Ecureuil roux	377
Mésange noire	2254
Sittelle torchepot	1254
Fauvette mélanocéphale	188
 Fauvette mélanocéphale	19
f	1
rouge queue noir	3
Rougequeue noir	35
rougequeue noir	1
Moineau domestique + moineau friquet	1
Pic épeiche	826
Chardonneret élégant	7428
Chardonneret élégant, Verdier d'Europe	48
Verdier d'Europe, Mésange charbonnière	10
Verdier d'Europe, Pinson du Nord	5
Mésange charbonnière, Mésange bleue	3
Bouvreuil pivoine	274
Pinson du Nord	3038
Mésange charbonnière, Verdier d'Europe	10
Merle noir	600
Mésange noire, Mésange charbonnière	9
Mésange charbonnière, Mésange noire	12
Mésange bleue, Mésange charbonnière	10
Moineau domestique, Chardonneret élégant	3
Verdier d'Europe, Moineau domestique	4
Mésange charbonnière, Chardonneret élégant	2
Verdier d'Europe, Chardonneret élégant	53
Verdier d'Europe, Mésange charbonnière, Verdier d'Europe	1
Pinson du Nord, Mésange charbonnière	5
Moineau domestique, Verdier d'Europe	3
Verdier d'Europe, Mésange noire	1
Pinson du Nord, Verdier d'Europe	1
Pinson du Nord, Chardonneret élégant	2
Mésange bleue, Moineau domestique	1
Verdier d'Europe, Mésange bleue	6
Moineau domestique, Pinson du Nord	1
Mésange charbonnière, Moineau domestique	2
Mésange bleue, Mésange bleue	1
Pinson des arbres, Verdier d'Europe	2
Pinson des arbres, Mésange charbonnière	1
Grosbec casse-noyaux	157
Ilan Kouchner	1
Grosbec Casse-Noyaux	1
Pinson du Nord,Chardonneret élégant	1
Verdier d'Europe,Pinson du Nord	6
Rougegorge familier,Mésange bleue	1
Rougegorge familier, Mésange bleue	1
Chardonneret élégant,Pinson du Nord	1
Rougegorge familier, Mésange charbonnière	1
Mésange charbonnière,Chardonneret élégant	1
Verdier d'Europe,Rougegorge familier	1
Mésange charbonnière,Mésange bleue	2
Pinson du Nord,Verdier d'Europe	1
Mésange noire,Mésange charbonnière	1
Mésange charbonnière,Mésange noire	1
Chardonneret élégant, verdier d'Europe, mésange bleue et pinson du Nord	1
Mésange Noire, Mésange charbonnière	1
Mésange huppée	164
Mésange charbonnière, Mésange Noire	1
Mésange charbonnière, Rougequeue noir	1
Deux verdiers d'Europe	6
Verdier d'Europe, Pinson des Arbres	1
Mésange charbonnière, Pinson des arbres	1
Mésange bleue, Verdier d'Europe	1
